Mode,Encryption_Time_Avg_s,Decryption_Time_Avg_s,Encryption_Throughput_MBs,Decryption_Throughput_MBs,Peak_Process_Memory_MB,Synchronization_Time_s,Total_Simulation_Time_s
robust,0.03252874612808228,0.0435683012008667,1.9213774719107093,1.4345291938708111,139.421875,14.29823088645935,19.569803953170776
paper,0.03163622617721558,0.04456173181533814,1.9755832964999005,1.4025487218269985,139.421875,14.29823088645935,19.569803953170776
